omc_id,sample_name,non_human_reads,total_reads,kraken_human_reads,collection_date,visit_number,biosample_type,biosample_site,biosample_side,biosample_alias,collection_medium_tube,tube_lot,added_medium,added_medium_lot,swab_type,swab_lot,extraction_kit,lysozyme_treatment,sample_volume,host_depletion,host_depletion_kit,nucleic_acid_concentration,sequencing_date,seq_plate_number,seq_batch_plate_location,seq_plate_location,sequencing_lane,individual_id,microbial_standard
jhu00244,027ZR_Conj_L_1_S49,2021928,48603604,15992,2024-10-23,1.0,Human Ocular Surface,Conj,Left,S49,OMR,BG001,,,Puritan,,Zymo Mini Prep Kit,,,,,2.2,2025-08-06,,,D12,L006,27.0,0
jhu00245,027ZR_Conj_L_2_S50,168346,47787736,22660,2024-10-30,2.0,Human Ocular Surface,Conj,Left,S50,OMR,BG001,,,Puritan,,Zymo Mini Prep Kit,,,,,2,2025-08-06,,,F8,L006,27.0,0
jhu00246,027ZR_Conj_R_1_S51,113378,50582818,19636,2024-10-23,1.0,Human Ocular Surface,Conj,Right,S51,OMR,BG001,,,ISOHELIX-mini,,Zymo Mini Prep Kit,,,,,1.4,2025-08-06,,,D11,L006,27.0,0
jhu00247,027ZR_Conj_R_2_S52,126082,47386120,15574,2024-10-30,2.0,Human Ocular Surface,Conj,Right,S52,OMR,BG001,,,ISOHELIX-mini,,Zymo Mini Prep Kit,,,,,1.6,2025-08-06,,,F7,L006,27.0,0
jhu00248,027ZR_Conj_R_3_S53,103104,39011800,14856,2024-11-06,3.0,Human Ocular Surface,Conj,Right,S53,OMR,BG001,,,ISOHELIX-mini,,Zymo Mini Prep Kit,,,,,1.9,2025-08-06,,,C4,L006,27.0,0
jhu00260,030AH_Conj_L_1_S65,4787748,38390706,11666,2024-11-06,1.0,Human Ocular Surface,Conj,Left,S65,OMR,BG001,,,ISOHELIX-mini,,Zymo Mini Prep Kit,,,,,2.8,2025-08-06,1.0,,D1,L006,30.0,0
jhu00261,030AH_Conj_L_2_S66,123140,46788940,20476,2024-11-13,2.0,Human Ocular Surface,Conj,Left,S66,OMR,BG001,,,ISOHELIX-mini,,Zymo Mini Prep Kit,,,,,1,2025-08-06,1.0,,G4,L006,30.0,0
jhu00262,030AH_Conj_L_3_S67,2620284,45034332,17296,2024-11-20,3.0,Human Ocular Surface,Conj,Left,S67,OMR,BG001,,,ISOHELIX-mini,,Zymo Mini Prep Kit,,,,,1.2,2025-08-06,1.0,,H2,L006,30.0,0
jhu00263,030AH_Conj_R_1_S68,4493034,6985228,1368,2024-11-06,1.0,Human Ocular Surface,Conj,Right,S68,OMR,BG001,,,FloQ,,Zymo Mini Prep Kit,,,,,3.8,2025-08-06,1.0,,C12,L006,30.0,0
jhu00264,030AH_Conj_R_2_S69,161786,48497366,17878,2024-11-13,2.0,Human Ocular Surface,Conj,Right,S69,OMR,BG001,,,FloQ,,Zymo Mini Prep Kit,,,,,1.4,2025-08-06,1.0,,G3,L006,30.0,0
